timestamp;x (in G's);y (in G's);z (in G's)
1600601979.586432;-0.021057;-0.131912;-0.847076
1600601979.605872;-0.038208;-0.143509;-0.825043
1600601979.625311;-0.022354;-0.168655;-0.838608
1600601979.644720;0.005325;-0.168106;-0.859955
1600601979.664160;0.011551;-0.169693;-0.889740
1600601979.683569;-0.007309;-0.162979;-0.929825
1600601979.703009;-0.001434;-0.150436;-0.968277
1600601979.722418;0.030838;-0.134888;-1.005402
1600601979.741858;0.056702;-0.107285;-1.033447
1600601979.761267;0.058502;-0.097900;-1.051224
1600601979.780707;0.030197;-0.090179;-1.080536
1600601979.800116;-0.023834;-0.077682;-1.106491
1600601979.819556;-0.065796;-0.068130;-1.125671
1600601979.838965;-0.060272;-0.063141;-1.129715
1600601979.858405;-0.027054;-0.065323;-1.102142
1600601979.877814;-0.007141;-0.058182;-1.092621
1600601979.897253;0.008331;-0.045395;-1.106583
1600601979.916663;0.017776;-0.048615;-1.099487
1600601979.936102;-0.016357;-0.044754;-1.054962
1600601979.955511;-0.025452;-0.046295;-1.017883
1600601979.974951;-0.016037;-0.038513;-1.042099
1600601979.994360;0.040878;-0.032684;-1.096130
1600601980.013800;0.077606;-0.028061;-1.104706
1600601980.033209;0.077835;-0.027679;-1.071274
1600601980.052649;0.079346;-0.045380;-1.019424
1600601980.072058;0.078339;-0.064087;-0.970291
1600601980.091473;0.074844;-0.069046;-0.944641
1600601980.110882;0.074524;-0.079941;-0.939011
1600601980.130322;0.051086;-0.077271;-0.947449
1600601980.149761;0.027298;-0.060364;-0.954285
1600601980.169171;0.038834;-0.068024;-0.937271
1600601980.188610;0.060654;-0.058212;-0.905151
1600601980.208019;0.076904;-0.067047;-0.865448
1600601980.227459;0.085266;-0.091339;-0.844299
1600601980.246868;0.088913;-0.099258;-0.838867
1600601980.266308;0.079544;-0.112961;-0.835556
1600601980.285717;0.075897;-0.133667;-0.827164
1600601980.305157;0.070892;-0.149231;-0.824051
1600601980.324566;0.066696;-0.162064;-0.840668
1600601980.344006;0.066605;-0.178162;-0.857468
1600601980.363415;0.074524;-0.196838;-0.877518
1600601980.382824;0.071472;-0.197876;-0.904388
1600601980.402264;0.047195;-0.197662;-0.945206
1600601980.421673;0.029526;-0.192444;-0.999527
1600601980.441113;0.032349;-0.181351;-1.048279
1600601980.460552;0.017059;-0.159286;-1.100357
1600601980.479962;0.003128;-0.124878;-1.144165
1600601980.499401;-0.006119;-0.074295;-1.179962
1600601980.518810;0.045853;-0.064285;-1.169235
1600601980.538250;0.089203;-0.083145;-1.106873
1600601980.557659;0.064163;-0.054382;-1.062775
1600601980.577099;0.032455;-0.082123;-1.039230
1600601980.596508;0.035034;-0.111420;-1.038086
1600601980.615948;0.005203;-0.063522;-1.043091
1600601980.635357;-0.006958;-0.045197;-1.059845
1600601980.654797;-0.037888;-0.032211;-1.068192
1600601980.674206;-0.026443;-0.042938;-1.052994
1600601980.693646;-0.003403;-0.065308;-0.995453
1600601980.713055;-0.025497;-0.056046;-0.943466
1600601980.732495;-0.027878;-0.061996;-0.918716
1600601980.751904;-0.040070;-0.051697;-0.920120
1600601980.771343;-0.049744;-0.044250;-0.935593
1600601980.790753;-0.043213;-0.045914;-0.946640
1600601980.810192;-0.022186;-0.042740;-0.945480
1600601980.829601;-0.012863;-0.051804;-0.926025
1600601980.849041;-0.003220;-0.070465;-0.882507
1600601980.868481;-0.005295;-0.097366;-0.843384
1600601980.887890;-0.017639;-0.106705;-0.831085
1600601980.907330;-0.026108;-0.123764;-0.845001
1600601980.926739;-0.031067;-0.121719;-0.879120
1600601980.946179;-0.030899;-0.124619;-0.899460
1600601980.965588;-0.027176;-0.135452;-0.905685
1600601980.985027;-0.041428;-0.134140;-0.898788
1600601981.004437;-0.046661;-0.131012;-0.902359
1600601981.023876;-0.046600;-0.130630;-0.920105
1600601981.043286;-0.026962;-0.133713;-0.915176
1600601981.062725;-0.029282;-0.132446;-0.902924
