timestamp;x (in radians/s);y (in radians/s);z (in radians/s)
1603186397.235786;-0.081713;0.208222;-0.025066
1603186397.245766;0.052747;0.252900;0.024936
1603186397.255775;0.175999;0.264218;0.061937
1603186397.265755;0.268379;0.212333;0.082022
1603186397.275764;0.319418;0.122094;0.083671
1603186397.285774;0.324074;0.036801;0.080554
1603186397.295753;0.288432;-0.059069;0.074367
1603186397.305763;0.217889;-0.134816;0.064097
1603186397.315742;0.125278;-0.155467;0.052732
1603186397.325752;0.031446;-0.112729;0.047402
1603186397.335762;-0.047158;-0.045984;0.046037
1603186397.345741;-0.102571;0.003363;0.041767
1603186397.355751;-0.131145;0.020059;0.036168
1603186397.365730;-0.135848;0.006571;0.026304
1603186397.375740;-0.123762;-0.024786;0.008379
1603186397.385750;-0.105771;-0.039198;-0.022684
1603186397.395729;-0.093268;-0.061047;-0.066022
1603186397.405739;-0.087982;-0.103369;-0.106232
1603186397.415718;-0.090309;-0.110696;-0.126959
1603186397.425728;-0.083517;-0.083010;-0.110524
1603186397.435738;-0.059451;-0.023765;-0.056629
1603186397.445717;-0.022463;0.040157;0.012457
1603186397.455727;0.014108;0.083622;0.062244
1603186397.465706;0.029297;0.072043;0.067872
1603186397.475716;0.018741;0.029669;0.028377
1603186397.485725;-0.013889;-0.018928;-0.044209
1603186397.495705;-0.063305;-0.070527;-0.122346
1603186397.505714;-0.115862;-0.101666;-0.177000
1603186397.515694;-0.154009;-0.093156;-0.190331
1603186397.525703;-0.159307;-0.060119;-0.161616
1603186397.535713;-0.135348;-0.007518;-0.102849
1603186397.545692;-0.091938;0.038281;-0.041871
1603186397.555702;-0.044775;0.059573;0.001164
1603186397.565681;-0.004054;0.059223;0.013837
1603186397.575691;0.020231;0.043140;-0.006702
1603186397.585701;0.026538;0.008172;-0.046979
1603186397.595680;0.016838;-0.035773;-0.093409
1603186397.605690;0.001394;-0.069958;-0.124965
1603186397.615669;-0.007951;-0.086477;-0.119091
1603186397.625679;-0.003180;-0.074332;-0.069114
1603186397.635689;0.021088;-0.040652;0.010102
1603186397.645668;0.051173;-0.008339;0.089554
1603186397.655678;0.082813;0.021897;0.130567
1603186397.665657;0.116740;0.053932;0.133373
1603186397.675667;0.154031;0.054334;0.100143
1603186397.685676;0.185836;0.026266;0.053722
1603186397.695656;0.204650;-0.013665;0.001160
1603186397.705665;0.203495;-0.027086;-0.051630
1603186397.715645;0.176707;-0.038087;-0.093936
1603186397.725655;0.136580;-0.056914;-0.121572
1603186397.735664;0.100477;-0.077977;-0.137567
1603186397.745644;0.088686;-0.096444;-0.137037
1603186397.755653;0.123907;-0.094965;-0.107833
1603186397.765633;0.218216;-0.050458;-0.038769
1603186397.775642;0.348887;0.006190;0.061788
1603186397.785652;0.480167;0.034165;0.155914
1603186397.795631;0.575180;0.064857;0.204704
1603186397.805641;0.612205;0.091728;0.194018
1603186397.815620;0.587353;0.118676;0.142442
1603186397.825630;0.510176;0.121599;0.084795
1603186397.835595;0.405522;0.108754;0.022356
1603186397.845574;0.274221;0.093826;-0.053910
1603186397.855584;0.117650;0.072780;-0.160444
1603186397.865563;-0.067736;0.044906;-0.292611
1603186397.875573;-0.285411;-0.012443;-0.437492
1603186397.885583;-0.517204;-0.074414;-0.556595
1603186397.895562;-0.716355;-0.088078;-0.613929
1603186397.905572;-0.833512;-0.067030;-0.599416
1603186397.915551;-0.848586;-0.015794;-0.535109
1603186397.925561;-0.774995;0.076500;-0.454546
1603186397.935540;-0.632433;0.175751;-0.344889
1603186397.945550;-0.427737;0.282572;-0.198082
1603186397.955559;-0.181592;0.329850;-0.018757
1603186397.965539;0.072450;0.320228;0.158435
1603186397.975549;0.293941;0.261062;0.291062
1603186397.985528;0.453246;0.162288;0.352626
1603186397.995538;0.533038;0.071445;0.344573
1603186398.005548;0.543022;0.018991;0.284705
1603186398.015527;0.488263;0.024117;0.199651
1603186398.025537;0.375313;0.068341;0.113684
1603186398.035517;0.216357;0.125764;0.048273
1603186398.045526;0.052830;0.154463;0.008085
1603186398.055536;-0.093651;0.158532;-0.009479
1603186398.065515;-0.204961;0.148807;-0.022463
1603186398.075525;-0.278958;0.119821;-0.044252
1603186398.085504;-0.314236;0.076005;-0.075594
1603186398.095513;-0.319181;0.036627;-0.114716
1603186398.105523;-0.303455;-0.003776;-0.149024
1603186398.115502;-0.276155;-0.036821;-0.168531
1603186398.125512;-0.244150;-0.056366;-0.169230
1603186398.135491;-0.215451;-0.056492;-0.146805
1603186398.145501;-0.196136;-0.050808;-0.109229
1603186398.155511;-0.190019;-0.032891;-0.061420
1603186398.165490;-0.190319;-0.005146;-0.014864
1603186398.175500;-0.197791;0.016248;0.035924
1603186398.185479;-0.191104;0.023035;0.081139
1603186398.195489;-0.171652;0.010231;0.116559
1603186398.205498;-0.145966;-0.015879;0.133313
1603186398.215478;-0.119001;-0.029275;0.135732
1603186398.225487;-0.099480;-0.044480;0.122035
1603186398.235467;-0.090190;-0.065296;0.101566
1603186398.245476;-0.085814;-0.071517;0.074109
