timestamp;x (in microteslas);y (in microteslas);z (in microteslas)
1603186438.278934;39.578918;169.916779;-433.514587
1603186438.288913;39.049332;170.184692;-433.535767
1603186438.298892;39.097122;170.055634;-433.543304
1603186438.308872;39.192535;170.244507;-433.927002
1603186438.318881;38.999466;170.627518;-433.807129
1603186438.328861;39.781815;170.525482;-433.963135
1603186438.338840;39.084610;170.680313;-433.842316
1603186438.348819;39.208694;170.670914;-433.825684
1603186438.358798;39.301605;171.154953;-433.802246
1603186438.368778;39.357452;171.163589;-434.090454
1603186438.378787;39.570511;171.262207;-434.275330
1603186438.388767;38.872467;171.541489;-433.971375
1603186438.398746;38.933350;171.629807;-434.234863
1603186438.408725;39.138397;171.865601;-433.711182
1603186438.418704;39.035690;172.104340;-434.035767
1603186438.428684;39.583466;172.216873;-434.294098
1603186438.438693;39.136963;172.384949;-433.843323
1603186438.448673;39.211609;172.586807;-434.108276
1603186438.458652;39.309158;172.620468;-434.101013
1603186438.468631;39.087753;172.903351;-434.321960
1603186438.478610;39.282150;172.997223;-434.196808
1603186438.488590;38.762772;173.099960;-434.132751
1603186438.498569;39.016983;173.495972;-434.249695
1603186438.508548;39.208771;173.716873;-434.541992
1603186438.518527;39.180374;173.786224;-434.481873
1603186438.528507;40.268372;173.906021;-434.607422
1603186438.538486;39.109375;173.831512;-434.328522
1603186438.548465;39.125793;174.222519;-434.553131
1603186438.558475;39.237137;174.374847;-434.783905
1603186438.568454;39.364029;174.329834;-434.538086
1603186438.578433;40.220963;174.673248;-434.813049
1603186438.588413;39.734802;174.740189;-434.735474
1603186438.598392;39.320038;174.933136;-434.524536
1603186438.608371;39.412582;175.474091;-434.639526
1603186438.618350;39.552963;175.713959;-434.757996
1603186438.628299;39.782547;175.561264;-434.839111
1603186438.638278;39.276016;175.705765;-434.554077
1603186438.648257;39.577377;176.020172;-434.909363
1603186438.658237;39.227982;176.047653;-434.549194
1603186438.668216;39.415817;176.175797;-434.562744
1603186438.678226;40.000351;176.622192;-434.817627
1603186438.688205;39.441589;176.832458;-434.562805
1603186438.698184;39.809082;176.797058;-434.435699
1603186438.708163;39.677338;177.082825;-434.668610
1603186438.718143;39.572876;177.395966;-434.797791
1603186438.728122;40.041809;177.511978;-434.804779
1603186438.738101;39.493561;177.462860;-434.434265
1603186438.748111;39.663818;177.745712;-434.628784
1603186438.758090;39.769592;177.799515;-434.610413
1603186438.768100;39.729950;178.182175;-434.750549
1603186438.778079;40.460739;178.481400;-435.001434
1603186438.788059;39.678787;178.561508;-435.005432
1603186438.798068;40.256683;178.959518;-434.846130
1603186438.808048;40.077530;179.080948;-434.964111
1603186438.818027;39.665665;179.164078;-434.620422
1603186438.828006;40.609650;179.329391;-434.855103
1603186438.837985;40.412262;179.280609;-434.831818
1603186438.847965;40.063248;179.579285;-434.953156
1603186438.857974;40.030899;179.645233;-434.802856
1603186438.867936;40.416626;179.870407;-435.003296
1603186438.877915;40.783981;180.124283;-435.078735
1603186438.887894;40.475266;180.335556;-435.003357
1603186438.897873;40.480637;180.503616;-435.265686
1603186438.907853;40.698059;180.820663;-435.247314
1603186438.917832;40.281219;180.898926;-435.219940
1603186438.927842;41.104187;181.318497;-435.440887
1603186438.937821;40.433258;181.600449;-435.129639
1603186438.947800;40.751419;181.852676;-435.494141
1603186438.957779;40.802841;182.199692;-435.358551
1603186438.967759;40.692200;182.483673;-435.370117
1603186438.977769;41.839081;182.930710;-435.486420
1603186438.987748;41.429443;183.218170;-435.471497
1603186438.997727;41.208237;183.368317;-435.308746
1603186439.007737;41.307632;183.481308;-435.273376
1603186439.017716;41.375015;183.934814;-435.242737
1603186439.027695;42.042831;184.384415;-435.451752
1603186439.037675;41.740585;184.636749;-435.453857
1603186439.047654;42.393921;185.028015;-435.276489
1603186439.057633;42.212341;185.787292;-435.671570
1603186439.067612;42.175812;185.726166;-435.246704
1603186439.077622;42.927917;186.216354;-435.486816
1603186439.087601;42.380951;186.644897;-435.416382
1603186439.097581;43.228226;186.984589;-435.577698
1603186439.107560;42.699097;187.188858;-435.342590
1603186439.117539;43.400330;187.805344;-435.551208
1603186439.127549;43.730713;188.200607;-435.552795
1603186439.137528;43.160599;188.609467;-435.294556
1603186439.147507;43.612732;189.058167;-435.466492
1603186439.157487;43.585922;189.459015;-435.265167
1603186439.167496;43.845352;189.815491;-435.259979
1603186439.177476;44.780869;190.120911;-435.476196
1603186439.187455;44.321930;190.364822;-435.227661
1603186439.197465;45.198563;190.625870;-435.551880
1603186439.207474;45.292618;191.156296;-435.451019
1603186439.217454;44.880661;191.334183;-435.481262
1603186439.227463;46.090408;191.795609;-435.834259
1603186439.237443;45.203247;192.092972;-435.584442
1603186439.247452;46.409485;192.498352;-435.744202
1603186439.257432;45.813278;192.796173;-435.863037
1603186439.267411;46.305817;193.274612;-435.850494
1603186439.277390;47.509430;193.657806;-436.270111
